Strain	Accession	Year	Continent	Region	Country	Source	Genotype	Source
B1271	ERR331270	2012	Australia & Oceania	Oceania 	Fiji	Blood	4.2.1	"Wong et al, 2015 (global framework)"
B1305	ERR331271	2012	Australia & Oceania	Oceania 	Fiji	Blood	4.2.2	"Wong et al, 2015 (global framework)"
B1357	ERR331273	2012	Australia & Oceania	Oceania 	Fiji	Blood	4.2.2	"Wong et al, 2015 (global framework)"
B1472	ERR331274	2012	Australia & Oceania	Oceania 	Fiji	Blood	4.2.2	"Wong et al, 2015 (global framework)"
B1501	ERR331275	2012	Australia & Oceania	Oceania 	Fiji	Blood	4.2.2	"Wong et al, 2015 (global framework)"
B1502	ERR331276	2012	Australia & Oceania	Oceania 	Fiji	Blood	4.2.2	"Wong et al, 2015 (global framework)"
B1542	ERR331278	2012	Australia & Oceania	Oceania 	Fiji	Blood	4.2.2	"Wong et al, 2015 (global framework)"
B1563	ERR331279	2012	Australia & Oceania	Oceania 	Fiji	Blood	4.2.2	"Wong et al, 2015 (global framework)"
B1596	ERR331280	2012	Australia & Oceania	Oceania 	Fiji	Blood	4.2.2	"Wong et al, 2015 (global framework)"
B1616	ERR331281	2012	Australia & Oceania	Oceania 	Fiji	Blood	4.2.2	"Wong et al, 2015 (global framework)"
B1628	ERR331282	2012	Australia & Oceania	Oceania 	Fiji	Blood	4.2.2	"Wong et al, 2015 (global framework)"
B2667	ERR331283	2008	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
B4381	ERR331284	2008	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
B4387	ERR331285	2008	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
P749	ERR331287	2008	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
W478	ERR331288	2012	Australia & Oceania	Oceania 	Fiji	Rectal swab	4.2.2	"Wong et al, 2015 (global framework)"
W794	ERR331289	2012	Australia & Oceania	Oceania 	Fiji	Stool	4.2.2	"Wong et al, 2015 (global framework)"
1102	ERR331290	2011	Asia	South Asia	Bangladesh	Blood	4.3.1	"Wong et al, 2015 (global framework)"
1154	ERR331291	2011	Asia	South Asia	Bangladesh	Blood	4.3.1	"Wong et al, 2015 (global framework)"
1404	ERR331292	2011	Asia	South Asia	Bangladesh	Blood	4.3.1	"Wong et al, 2015 (global framework)"
A143	ERR331212	2008	Asia	Southeast Asia	Indonesia	Blood	2.1.3	"Wong et al, 2015 (global framework)"
1499	ERR331293	2011	Asia	South Asia	Bangladesh	Blood	4.3.1	"Wong et al, 2015 (global framework)"
1553	ERR331294	2011	Asia	South Asia	Bangladesh	Blood	4.3.1	"Wong et al, 2015 (global framework)"
1607	ERR331295	2011	Asia	South Asia	Bangladesh	Blood	4.3.1	"Wong et al, 2015 (global framework)"
1703	ERR331296	2008	Asia	South Asia	Bangladesh	Blood	4.3.1	"Wong et al, 2015 (global framework)"
1707	ERR331297	2012	Asia	South Asia	Bangladesh	Blood	4.3.1	"Wong et al, 2015 (global framework)"
LNT757	ERR331298	2009	Asia	Southeast Asia	Laos	Blood	2.3.4	"Wong et al, 2015 (global framework)"
SV200	ERR331307	2009	Asia	Southeast Asia	Laos	Blood	3.4.0	"Wong et al, 2015 (global framework)"
SV211	ERR331308	2009	Asia	Southeast Asia	Laos	Blood	3.2.1	"Wong et al, 2015 (global framework)"
SV357	ERR331309	2009	Asia	Southeast Asia	Laos	Blood	3.5.2	"Wong et al, 2015 (global framework)"
SV430	ERR331310	2009	Asia	Southeast Asia	Laos	Blood	2.2.3	"Wong et al, 2015 (global framework)"
SV431	ERR331311	2009	Asia	Southeast Asia	Laos	Blood	3.2.1	"Wong et al, 2015 (global framework)"
SV500	ERR331312	2010	Asia	Southeast Asia	Laos	Blood	3.5.2	"Wong et al, 2015 (global framework)"
SV547	ERR331313	2010	Asia	Southeast Asia	Laos	Blood	3.5.2	"Wong et al, 2015 (global framework)"
SV552	ERR331314	2010	Asia	Southeast Asia	Laos	Blood	3.5.2	"Wong et al, 2015 (global framework)"
SV610	ERR331315	2010	Asia	Southeast Asia	Laos	Blood	3.5.2	"Wong et al, 2015 (global framework)"
UI10006	ERR331316	2007	Asia	Southeast Asia	Laos	Blood	2.3.4	"Wong et al, 2015 (global framework)"
UI10788	ERR331317	2007	Asia	Southeast Asia	Laos	Blood	2.2.3	"Wong et al, 2015 (global framework)"
UI11483	ERR331318	2008	Asia	Southeast Asia	Laos	Blood	3.4.0	"Wong et al, 2015 (global framework)"
UI11562	ERR331319	2008	Asia	Southeast Asia	Laos	Blood	4.1.0	"Wong et al, 2015 (global framework)"
UI11955	ERR331320	2008	Asia	Southeast Asia	Laos	Blood	3.4.0	"Wong et al, 2015 (global framework)"
UI12162	ERR331321	2008	Asia	Southeast Asia	Laos	Blood	3.2.1	"Wong et al, 2015 (global framework)"
UI13529-2	ERR331322	2009	Asia	Southeast Asia	Laos	Blood	3.4.0	"Wong et al, 2015 (global framework)"
UI13599	ERR331323	2009	Asia	Southeast Asia	Laos	Blood	3.2.1	"Wong et al, 2015 (global framework)"
UI13797	ERR331324	2009	Asia	Southeast Asia	Laos	Blood	3.2.1	"Wong et al, 2015 (global framework)"
UI13823	ERR331325	2009	Asia	Southeast Asia	Laos	Blood	4.3.1	"Wong et al, 2015 (global framework)"
UI14191/3	ERR331326	2009	Asia	Southeast Asia	Laos	Blood	3.4.0	"Wong et al, 2015 (global framework)"
LNT899	ERR331300	2009	Asia	Southeast Asia	Laos	Blood	3.4.0	"Wong et al, 2015 (global framework)"
UI14598	ERR331327	2009	Asia	Southeast Asia	Laos	Blood	2.2.3	"Wong et al, 2015 (global framework)"
UI15075	ERR331328	2008	Asia	Southeast Asia	Laos	Blood	4.3.1	"Wong et al, 2015 (global framework)"
UI16161	ERR331329	2010	Asia	Southeast Asia	Laos	Blood	3.4.0	"Wong et al, 2015 (global framework)"
UI16704	ERR331330	2010	Asia	Southeast Asia	Laos	Blood	4.3.1	"Wong et al, 2015 (global framework)"
UI17187	ERR331331	2010	Asia	Southeast Asia	Laos	Blood	4.1.0	"Wong et al, 2015 (global framework)"
UI17614	ERR331332	2010	Asia	Southeast Asia	Laos	Blood	3.2.1	"Wong et al, 2015 (global framework)"
UI3398	ERR331333	2003	Asia	Southeast Asia	Laos	Blood	4.3.1	"Wong et al, 2015 (global framework)"
UI3446	ERR331334	2003	Asia	Southeast Asia	Laos	Blood	3.0.0	"Wong et al, 2015 (global framework)"
UI3452	ERR331335	2003	Asia	Southeast Asia	Laos	Blood	4.3.1	"Wong et al, 2015 (global framework)"
UI3492	ERR331336	2003	Asia	Southeast Asia	Laos	Blood	4.3.1	"Wong et al, 2015 (global framework)"
LPB866	ERR331301	2008	Asia	Southeast Asia	Laos	Blood	4.3.1	"Wong et al, 2015 (global framework)"
UI3564	ERR331337	2003	Asia	Southeast Asia	Laos	Blood	4.1.0	"Wong et al, 2015 (global framework)"
UI3608	ERR331339	2003	Asia	Southeast Asia	Laos	Blood	2.2.0	"Wong et al, 2015 (global framework)"
UI3744	ERR331340	2003	Asia	Southeast Asia	Laos	Blood	3.4.0	"Wong et al, 2015 (global framework)"
UI3753	ERR331341	2003	Asia	Southeast Asia	Laos	Blood	3.2.1	"Wong et al, 2015 (global framework)"
UI3816	ERR331342	2003	Asia	Southeast Asia	Laos	Blood	3.4.0	"Wong et al, 2015 (global framework)"
UI3862	ERR331343	2003	Asia	Southeast Asia	Laos	Blood	3.4.0	"Wong et al, 2015 (global framework)"
UI3915	ERR331344	2003	Asia	Southeast Asia	Laos	Blood	4.3.1	"Wong et al, 2015 (global framework)"
UI3930	ERR331345	2003	Asia	Southeast Asia	Laos	Blood	3.4.0	"Wong et al, 2015 (global framework)"
UI4389	ERR331346	2003	Asia	Southeast Asia	Laos	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ST716	ERR331302	2008	Asia	Southeast Asia	Laos	Blood	3.4.0	"Wong et al, 2015 (global framework)"
UI4639	ERR331347	2003	Asia	Southeast Asia	Laos	Blood	4.3.1	"Wong et al, 2015 (global framework)"
UI4692	ERR331348	2004	Asia	Southeast Asia	Laos	Blood	2.2.3	"Wong et al, 2015 (global framework)"
UI4940	ERR331349	2004	Asia	Southeast Asia	Laos	Blood	4.1.0	"Wong et al, 2015 (global framework)"
UI5026	ERR331350	2004	Asia	Southeast Asia	Laos	Blood	3.4.0	"Wong et al, 2015 (global framework)"
UI5106	ERR331351	2004	Asia	Southeast Asia	Laos	Blood	4.3.1	"Wong et al, 2015 (global framework)"
UI5154	ERR331352	2004	Asia	Southeast Asia	Laos	Blood	4.3.1	"Wong et al, 2015 (global framework)"
UI5275	ERR331353	2004	Asia	Southeast Asia	Laos	Blood	3.2.1	"Wong et al, 2015 (global framework)"
UI5312	ERR331354	2004	Asia	Southeast Asia	Laos	Blood	3.2.1	"Wong et al, 2015 (global framework)"
UI5446	ERR331355	2004	Asia	Southeast Asia	Laos	Blood	3.4.0	"Wong et al, 2015 (global framework)"
UI5557	ERR331356	2004	Asia	Southeast Asia	Laos	Blood	3.4.0	"Wong et al, 2015 (global framework)"
SV108	ERR331303	2008	Asia	Southeast Asia	Laos	Blood	3.2.1	"Wong et al, 2015 (global framework)"
UI5669	ERR331357	2004	Asia	Southeast Asia	Laos	Blood	4.1.0	"Wong et al, 2015 (global framework)"
UI5685-2	ERR331358	2004	Asia	Southeast Asia	Laos	Blood	4.1.0	"Wong et al, 2015 (global framework)"
UX229	ERR331359	2009	Asia	Southeast Asia	Laos	Blood	3.4.0	"Wong et al, 2015 (global framework)"
UX305	ERR331360	2009	Asia	Southeast Asia	Laos	Blood	3.4.0	"Wong et al, 2015 (global framework)"
UX309	ERR331361	2009	Asia	Southeast Asia	Laos	Blood	3.4.0	"Wong et al, 2015 (global framework)"
XK1682	ERR331363	2010	Asia	Southeast Asia	Laos	Blood	3.2.1	"Wong et al, 2015 (global framework)"
XK1684	ERR331364	2010	Asia	Southeast Asia	Laos	Blood	3.2.1	"Wong et al, 2015 (global framework)"
XN211	ERR331365	2010	Asia	Southeast Asia	Laos	Blood	3.4.0	"Wong et al, 2015 (global framework)"
60434	ERR331366	2006	Africa	East Africa	Tanzania	Blood	2.2.2	"Wong et al, 2015 (global framework)"
SV170	ERR331304	2009	Asia	Southeast Asia	Laos	Blood	3.2.1	"Wong et al, 2015 (global framework)"
129-0242-M	ERR331368	2008	Africa	East Africa	Tanzania	Blood	4.3.1	"Wong et al, 2015 (global framework)"
129-0289-M	ERR331369	2008	Africa	East Africa	Tanzania	Blood	4.3.1	"Wong et al, 2015 (global framework)"
61025	ERR331370	2006	Africa	East Africa	Tanzania	Blood	2.2.0	"Wong et al, 2015 (global framework)"
63714	ERR331371	2007	Africa	East Africa	Tanzania	Blood	3.3.1	"Wong et al, 2015 (global framework)"
129-0327-M	ERR331372	2008	Africa	East Africa	Tanzania	Blood	4.3.1	"Wong et al, 2015 (global framework)"
129-0177-M	ERR331373	2007	Africa	East Africa	Tanzania	Blood	3.1.0	"Wong et al, 2015 (global framework)"
129-0268-M	ERR331374	2008	Africa	East Africa	Tanzania	Blood	4.3.1	"Wong et al, 2015 (global framework)"
129-0339-M	ERR331375	2008	Africa	East Africa	Tanzania	Blood	4.3.1	"Wong et al, 2015 (global framework)"
129-0303-M	ERR331376	2008	Africa	East Africa	Tanzania	Blood	4.3.1	"Wong et al, 2015 (global framework)"
SV171	ERR331305	2009	Asia	Southeast Asia	Laos	Blood	3.2.1	"Wong et al, 2015 (global framework)"
129-0257-M	ERR331377	2008	Africa	East Africa	Tanzania	Blood	4.3.1	"Wong et al, 2015 (global framework)"
129-0230-K	ERR331378	2008	Africa	East Africa	Tanzania	Blood	4.3.1	"Wong et al, 2015 (global framework)"
129-0254-M	ERR331379	2008	Africa	East Africa	Tanzania	Blood	4.3.1	"Wong et al, 2015 (global framework)"
129-0238-M	ERR331380	2008	Africa	East Africa	Tanzania	Blood	4.3.1	"Wong et al, 2015 (global framework)"
62717	ERR331381	2006	Africa	East Africa	Tanzania	Blood	2.2.0	"Wong et al, 2015 (global framework)"
H062640481	ERR331382	2006	Asia	Western Asia	Iraq	Blood	4.3.1	"Wong et al, 2015 (global framework)"
H094620494	ERR331383	2009	Asia	Western Asia	Iraq	Blood	4.3.1	"Wong et al, 2015 (global framework)"
H083520583	ERR331384	2008	Asia	Western Asia	Iraq	Blood	4.3.1	"Wong et al, 2015 (global framework)"
H104280445	ERR331385	2010	Asia	Western Asia	Iraq	Blood	4.3.1	"Wong et al, 2015 (global framework)"
H075080543	ERR331386	2007	Asia	Western Asia	Iraq	Blood	4.3.1	"Wong et al, 2015 (global framework)"
SV179	ERR331306	2009	Asia	Southeast Asia	Laos	Blood	3.2.1	"Wong et al, 2015 (global framework)"
H094420550	ERR331387	2009	Asia	Western Asia	Iraq	Stool	4.3.1	"Wong et al, 2015 (global framework)"
H084140247	ERR331388	2008	Asia	Western Asia	Iraq	Blood	4.3.1	"Wong et al, 2015 (global framework)"
H094320403	ERR331389	2009	Asia	Western Asia	Iraq	Blood	4.3.1	"Wong et al, 2015 (global framework)"
H084260341	ERR331390	2008	Asia	Western Asia	Iraq	Blood	4.3.1	"Wong et al, 2015 (global framework)"
1738	ERR337977	2012	Asia	South Asia	Bangladesh	Blood	4.3.1	"Wong et al, 2015 (global framework)"
TY068	ERR337986	2012	Asia	South Asia	Bangladesh	Blood	3.2.2	"Wong et al, 2015 (global framework)"
TY107	ERR337987	2012	Asia	South Asia	Bangladesh	Blood	4.3.1	"Wong et al, 2015 (global framework)"
TY108	ERR337988	2012	Asia	South Asia	Bangladesh	Blood	3.3.0	"Wong et al, 2015 (global framework)"
TY121	ERR337989	2012	Asia	South Asia	Bangladesh	Blood	4.3.1	"Wong et al, 2015 (global framework)"
TY132	ERR337990	2012	Asia	South Asia	Bangladesh	Blood	4.3.1	"Wong et al, 2015 (global framework)"
TY138	ERR337991	2012	Asia	South Asia	Bangladesh	Blood	3.3.0	"Wong et al, 2015 (global framework)"
TY524	ERR337992	2012	Asia	South Asia	Bangladesh	Blood	3.3.0	"Wong et al, 2015 (global framework)"
TY529	ERR337993	2012	Asia	South Asia	Bangladesh	Blood	4.3.1	"Wong et al, 2015 (global framework)"
TY585	ERR337995	2012	Asia	South Asia	Bangladesh	Blood	4.3.1	"Wong et al, 2015 (global framework)"
1877	ERR337978	2012	Asia	South Asia	Bangladesh	Blood	4.3.1	"Wong et al, 2015 (global framework)"
TY589	ERR337996	2012	Asia	South Asia	Bangladesh	Blood	4.3.1	"Wong et al, 2015 (global framework)"
TY647	ERR337997	2012	Asia	South Asia	Bangladesh	Blood	4.3.1	"Wong et al, 2015 (global framework)"
231697	ERR337998	2007	Africa	South Africa	South Africa	Blood	2.4.1	"Wong et al, 2015 (global framework)"
155749	ERR337999	2006	Africa	South Africa	South Africa	Blood	2.5.0	"Wong et al, 2015 (global framework)"
175806	ERR338001	2006	Africa	South Africa	South Africa	Blood	2.4.0	"Wong et al, 2015 (global framework)"
1647901	ERR338002	2005	Africa	South Africa	South Africa	Blood	4.3.1	"Wong et al, 2015 (global framework)"
1025041	ERR338003	2004	Africa	South Africa	South Africa	Blood	2.4.1	"Wong et al, 2015 (global framework)"
1025617	ERR338004	2004	Africa	South Africa	South Africa	Blood	4.1.1	"Wong et al, 2015 (global framework)"
1647624	ERR338005	2005	Africa	South Africa	South Africa	Blood	2.4.0	"Wong et al, 2015 (global framework)"
2181	ERR337979	2012	Asia	South Asia	Bangladesh	Blood	3.3.0	"Wong et al, 2015 (global framework)"
237091	ERR338006	2007	Africa	South Africa	South Africa	Blood	2.4.1	"Wong et al, 2015 (global framework)"
226195	ERR338007	2007	Africa	South Africa	South Africa	Blood	2.4.1	"Wong et al, 2015 (global framework)"
206926	ERR338008	2007	Africa	South Africa	South Africa	Blood	1.1.2	"Wong et al, 2015 (global framework)"
225555	ERR338009	2007	Africa	South Africa	South Africa	Blood	2.4.0	"Wong et al, 2015 (global framework)"
241451	ERR338010	2008	Africa	South Africa	South Africa	Blood	2.4.1	"Wong et al, 2015 (global framework)"
238675	ERR338011	2008	Africa	South Africa	South Africa	Blood	2.4.0	"Wong et al, 2015 (global framework)"
241454	ERR338012	2008	Africa	South Africa	South Africa	Blood	2.4.1	"Wong et al, 2015 (global framework)"
257401	ERR338013	2008	Africa	South Africa	South Africa	Blood	2.4.0	"Wong et al, 2015 (global framework)"
141461	ERR338016	2006	Africa	South Africa	South Africa	Blood	2.4.1	"Wong et al, 2015 (global framework)"
1650362	ERR338019	2005	Africa	South Africa	South Africa	Blood	2.4.0	"Wong et al, 2015 (global framework)"
1026656	ERR338020	2004	Africa	South Africa	South Africa	Blood	2.4.0	"Wong et al, 2015 (global framework)"
493790	ERR338023	2010	Africa	South Africa	South Africa	Blood	4.3.1	"Wong et al, 2015 (global framework)"
520772	ERR338024	2010	Africa	South Africa	South Africa	Breast pus	2.4.1	"Wong et al, 2015 (global framework)"
516981	ERR338025	2010	Africa	South Africa	South Africa	Blood	2.4.0	"Wong et al, 2015 (global framework)"
TY019	ERR337981	2012	Asia	South Asia	Bangladesh	Blood	3.3.0	"Wong et al, 2015 (global framework)"
474899	ERR338026	2010	Africa	South Africa	South Africa	Blood	4.3.1	"Wong et al, 2015 (global framework)"
427489	ERR338027	2010	Africa	South Africa	South Africa	Blood & bone marrow	3.3.1	"Wong et al, 2015 (global framework)"
412921	ERR338028	2009	Africa	South Africa	South Africa	Blood	2.5.0	"Wong et al, 2015 (global framework)"
410378	ERR338029	2009	Africa	South Africa	South Africa	Blood	2.4.0	"Wong et al, 2015 (global framework)"
410323	ERR338030	2009	Africa	South Africa	South Africa	Blood	3.3.1	"Wong et al, 2015 (global framework)"
542825	ERR338031	2011	Africa	South Africa	South Africa	Blood	3.3.1	"Wong et al, 2015 (global framework)"
540614	ERR338032	2011	Africa	South Africa	South Africa	Blood	2.5.0	"Wong et al, 2015 (global framework)"
583236	ERR338034	2011	Africa	South Africa	South Africa	Blood	4.3.1	"Wong et al, 2015 (global framework)"
627334	ERR338035	2012	Africa	South Africa	South Africa	Blood	1.1.2	"Wong et al, 2015 (global framework)"
TY029	ERR337982	2012	Asia	South Asia	Bangladesh	Blood	3.3.0	"Wong et al, 2015 (global framework)"
648212	ERR338036	2012	Africa	South Africa	South Africa	Blood	4.3.1	"Wong et al, 2015 (global framework)"
639624	ERR338037	2012	Africa	South Africa	South Africa	Blood	3.3.1	"Wong et al, 2015 (global framework)"
363192	ERR338039	2009	Africa	South Africa	South Africa	Blood	3.3.1	"Wong et al, 2015 (global framework)"
316083	ERR338040	2009	Africa	South Africa	South Africa	Blood	2.5.0	"Wong et al, 2015 (global framework)"
671445	ERR338041	2012	Africa	South Africa	South Africa	Stool	2.4.1	"Wong et al, 2015 (global framework)"
325681	ERR338042	2009	Africa	South Africa	South Africa	CSF & Blood	4.1.1	"Wong et al, 2015 (global framework)"
338900	ERR338043	2009	Africa	South Africa	South Africa	Blood	2.4.1	"Wong et al, 2015 (global framework)"
400746	ERR338044	2009	Africa	South Africa	South Africa	Blood	2.4.0	"Wong et al, 2015 (global framework)"
TY032	ERR337983	2012	Asia	South Asia	Bangladesh	Blood	3.3.0	"Wong et al, 2015 (global framework)"
379905	ERR338046	2009	Africa	South Africa	South Africa	Blood	2.4.1	"Wong et al, 2015 (global framework)"
634660	ERR338047	2012	Africa	South Africa	South Africa	Blood	2.4.0	"Wong et al, 2015 (global framework)"
671076	ERR338049	2012	Africa	South Africa	South Africa	Blood	3.1.0	"Wong et al, 2015 (global framework)"
A102	ERR338050	2005	Asia	Southeast Asia	Indonesia	Blood	2.1.9	"Wong et al, 2015 (global framework)"
A105	ERR338051	2012	Asia	Southeast Asia	Indonesia	Blood	3.1.2	"Wong et al, 2015 (global framework)"
A109	ERR338052	2004	Asia	Southeast Asia	Indonesia	Blood	2.1.3	"Wong et al, 2015 (global framework)"
TY053	ERR337984	2012	Asia	South Asia	Bangladesh	Blood	4.3.1	"Wong et al, 2015 (global framework)"
A122	ERR338058	2005	Asia	Southeast Asia	Indonesia	Blood	3.1.2	"Wong et al, 2015 (global framework)"
A125	ERR338060	2005	Asia	Southeast Asia	Indonesia	Blood	3.1.2	"Wong et al, 2015 (global framework)"
A127	ERR338061	2011	Asia	Southeast Asia	Indonesia	Blood	2.1.8	"Wong et al, 2015 (global framework)"
A128	ERR338062	2008	Asia	Southeast Asia	Indonesia	Blood	3.1.2	"Wong et al, 2015 (global framework)"
A131	ERR338064	2004	Asia	Southeast Asia	Indonesia	Blood	3.0.0	"Wong et al, 2015 (global framework)"
A132	ERR338065	2011	Asia	Southeast Asia	Indonesia	Blood	3.1.2	"Wong et al, 2015 (global framework)"
TY063	ERR337985	2012	Asia	South Asia	Bangladesh	Blood	3.3.0	"Wong et al, 2015 (global framework)"
A135	ERR338067	2004	Asia	Southeast Asia	Indonesia	Blood	3.1.2	"Wong et al, 2015 (global framework)"
A136	ERR338068	2010	Asia	Southeast Asia	Indonesia	Blood	3.1.2	"Wong et al, 2015 (global framework)"
A137	ERR338069	2008	Asia	Southeast Asia	Indonesia	Blood	4.1.0	"Wong et al, 2015 (global framework)"
Gen-0001	ERR338070	2012	Australia & Oceania	Oceania 	Samoa	Not provided	3.5.4	"Wong et al, 2015 (global framework)"
