sample	BioHansel subtype scheme Typhi_v1.2.0	avg_kmer_coverage	qc_status	qc_message	Corresponding Wong et al genotype for BioHansel subtype	Genotype reported in Wong et al publication for this accession ID	IF FAIL QC: Final BioHansel subtype with highest k-mer coverage in dataset (Wong et al. genotype code; coverage)	IF FAIL QC: Minor contaminant k-mer subtype in dataset causing mixed subtype QC call (Wong et al. genotype code; coverage)
ERR360466	2	35.739	PASS		Typhi_2.0.0	2.0.0		
ERR352461	2	44.529	PASS		Typhi_2.0.0	2.0.0		
ERR360618	2	41.884	PASS		Typhi_2.0.0	2.0.0		
ERR353330	2	55.912	PASS		Typhi_2.0.0	2.0.0		
ERR420428	2	62.292	PASS		Typhi_2.0.0	2.0.0		
ERR360453	2	47.809	PASS		Typhi_2.0.0	2.0.0		
ERR352310	2.1	43.471	PASS		Typhi_2.1.0	2.1.0		
ERR357827	2.1	42.652	PASS		Typhi_2.1.0	2.1.0		
ERR357445	2.1	51.647	PASS		Typhi_2.1.0	2.1.0		
ERR352472	2.1	42.357	PASS		Typhi_2.1.0	2.1.0		
ERR360820	2.2	32.132	PASS		Typhi_2.2.0	2.2.0		
ERR360509	2.2	38.441	PASS		Typhi_2.2.0	2.2.0		
ERR279098	2.2	55.557	PASS		Typhi_2.2.0	2.2.0		
ERR331381	2.2	41.887	PASS		Typhi_2.2.0	2.2.0		
ERR331339	2.2	41.211	PASS		Typhi_2.2.0	2.2.0		
ERR360487	2.2	30.754	PASS		Typhi_2.2.0	2.2.0		
ERR360664	2.2	41.768	PASS		Typhi_2.2.0	2.2.0		
ERR343318	2.2	27.449	PASS		Typhi_2.2.0	2.2.0		
ERR279169	2.2	83.681	PASS		Typhi_2.2.0	2.2.0		
ERR343317	2.2	26.559	PASS		Typhi_2.2.0	2.2.0		
ERR360637	2.2	40.926	PASS		Typhi_2.2.0	2.2.0		
ERR1017063	2.2	31.377	PASS		Typhi_2.2.0	2.2.0		
ERR360635	2.2	37.824	PASS		Typhi_2.2.0	2.2.0		
ERR360614	2.2	40.725	PASS		Typhi_2.2.0	2.2.0		
ERR349559	2.2	30.667	PASS		Typhi_2.2.0	2.2.0		
ERR352328	2.2	40.408	PASS		Typhi_2.2.0	2.2.0		
ERR279177	2.2	80.931	PASS		Typhi_2.2.0	2.2.0		
ERR331370	2.2	42.352	PASS		Typhi_2.2.0	2.2.0		
ERR352465	2.3	45.072	PASS		Typhi_3.0.0	3.0.0		
ERR360521	2.3	42.829	PASS		Typhi_3.0.0	3.0.0		
ERR352331	2.3	43.543	PASS		Typhi_3.0.0	3.0.0		
ERR352435	2.3	47.414	PASS		Typhi_3.0.0	3.0.0		
ERR326613	2.3	56.101	PASS		Typhi_3.0.0	3.0.0		
ERR331249	2.3	63.577	PASS		Typhi_3.0.0	3.0.0		
ERR352945	2.3	39.116	PASS		Typhi_3.0.0	3.0.0		
ERR326627	2.3	41.957	PASS		Typhi_3.0.0	3.0.0		
ERR331229	2.3	48.972	PASS		Typhi_3.0.0	3.0.0		
ERR331231	2.3	56.859	PASS		Typhi_3.0.0	3.0.0		
ERR331219	2.3	64.027	PASS		Typhi_3.0.0	3.0.0		
ERR331237	2.3	47.685	PASS		Typhi_3.0.0	3.0.0		
ERR352441	2.3	50.319	PASS		Typhi_3.0.0	3.0.0		
ERR352511	2.3	43	PASS		Typhi_3.0.0	3.0.0		
ERR331241	2.3	59.886	PASS		Typhi_3.0.0	3.0.0		
ERR343328	2.3	27.456	PASS		Typhi_3.0.0	3.0.0		
ERR338064	2.3	44.304	PASS		Typhi_3.0.0	3.0.0		
ERR326604	2.3	41.095	PASS		Typhi_3.0.0	3.0.0		
ERR352282	2.3	55.592	PASS		Typhi_3.0.0	3.0.0		
ERR357663	2.3	37.543	PASS		Typhi_3.0.0	3.0.0		
ERR352260	2.3	44.609	PASS		Typhi_3.0.0	3.0.0		
ERR326626	2.3	60.222	PASS		Typhi_3.0.0	3.0.0		
ERR331334	2.3	51.435	PASS		Typhi_3.0.0	3.0.0		
ERR326610	2.3	47.536	PASS		Typhi_3.0.0	3.0.0		
ERR357761	2.3	44.275	PASS		Typhi_3.0.0	3.0.0		
ERR326647	2.3	53.444	PASS		Typhi_3.0.0	3.0.0		
ERR357473	2.3	45.985	PASS		Typhi_3.0.0	3.0.0		
ERR360491	2.3	45.632	PASS		Typhi_3.0.0	3.0.0		
ERR331215	2.3	50.014	PASS		Typhi_3.0.0	3.0.0		
ERR357823	2.3	36.956	PASS		Typhi_3.0.0	3.0.0		
ERR331248	2.3	60.243	PASS		Typhi_3.0.0	3.0.0		
ERR338019	2.4	51.594	PASS		Typhi_2.4.0	2.4.0		
ERR338020	2.4	44.843	PASS		Typhi_2.4.0	2.4.0		
ERR338005	2.4	43.543	PASS		Typhi_2.4.0	2.4.0		
ERR338001	2.4	44.2	PASS		Typhi_2.4.0	2.4.0		
ERR338029	2.4	47.366	PASS		Typhi_2.4.0	2.4.0		
ERR338013	2.4	42.681	PASS		Typhi_2.4.0	2.4.0		
ERR343329	2.4	27.725	PASS		Typhi_2.4.0	2.4.0		
ERR326678	2.4	48.471	PASS		Typhi_2.4.0	2.4.0		
ERR338044	2.4	51.606	PASS		Typhi_2.4.0	2.4.0		
ERR326664	2.4	54.114	PASS		Typhi_2.4.0	2.4.0		
ERR338025	2.4	41.899	PASS		Typhi_2.4.0	2.4.0		
ERR338009	2.4	46.239	PASS		Typhi_2.4.0	2.4.0		
ERR338011	2.4	45.014	PASS		Typhi_2.4.0	2.4.0		
ERR338047	2.4	57.362	PASS		Typhi_2.4.0	2.4.0		
ERR338028	2.5	49.113	PASS		Typhi_2.5.0	2.5.0		
ERR352306	2.5	50.015	PASS		Typhi_2.5.0	2.5.0		
ERR352475	2.5	43.925	PASS		Typhi_2.5.0	2.5.0		
ERR108649	2.5	44.814	PASS		Typhi_2.5.0	2.5.0		
ERR338032	2.5	43.282	PASS		Typhi_2.5.0	2.5.0		
ERR212647	2.5	47.069	PASS		Typhi_2.5.0	2.5.0		
ERR338040	2.5	46.686	PASS		Typhi_2.5.0	2.5.0		
ERR360485	2.5	31.882	PASS		Typhi_2.5.0	2.5.0		
ERR360493	2.5	41.986	PASS		Typhi_2.5.0	2.5.0		
ERR360681	2.5	41.912	PASS		Typhi_2.5.0	2.5.0		
ERR343253	2.5	25.191	PASS		Typhi_2.5.0	2.5.0		
ERR360617	2.5	38.043	PASS		Typhi_2.5.0	2.5.0		
ERR343254	2.5	25.551	PASS		Typhi_2.5.0	2.5.0		
ERR357818	2.5	46.058	PASS		Typhi_2.5.0	2.5.0		
ERR360680	2.5	44.757	PASS		Typhi_2.5.0	2.5.0		
ERR360496	2.5	40.391	PASS		Typhi_2.5.0	2.5.0		
ERR337999	2.5	45.817	PASS		Typhi_2.5.0	2.5.0		
ERR343275	2.5	24.941	PASS		Typhi_2.5.0	2.5.0		
ERR360652	2.5	37.362	PASS		Typhi_2.5.0	2.5.0		
ERR360497	2.5	36.696	PASS		Typhi_2.5.0	2.5.0		
ERR360467	2.6	36.309	PASS		Typhi_2.0.1	2.0.1		
ERR360451	2.6	49.574	PASS		Typhi_2.0.1	2.0.1		
ERR422830	2.6	36.794	PASS		Typhi_2.0.1	2.0.1		
ERR360450	2.6	43.824	PASS		Typhi_2.0.1	2.0.1		
ERR343314	2.6	29.116	PASS		Typhi_2.0.1	2.0.1		
ERR352508	2.6	44.725	PASS		Typhi_2.0.1	2.0.1		
ERR360460	2.6	40.681	PASS		Typhi_2.0.1	2.0.1		
ERR360449	2.6	44.391	PASS		Typhi_2.0.1	2.0.1		
ERR360456	2.6	44.691	PASS		Typhi_2.0.1	2.0.1		
ERR343301	2.6	25.779	PASS		Typhi_2.0.1	2.0.1		
ERR343321	2.7	23.588	PASS		Typhi_2.0.2	2.0.2		
ERR1017060	2.7	31.014	PASS		Typhi_2.0.2	2.0.2		
ERR360667	2.7	44.75	PASS		Typhi_2.0.2	2.0.2		
ERR360492	2.7	39.676	PASS		Typhi_2.0.2	2.0.2		
ERR357652	3.1	39.721	PASS		Typhi_1.2.1	1.2.1		
ERR360644	0.1.1	43.391	PASS		Typhi_0.1.1	0.1.1		
ERR360505	0.1.1	38.586	PASS		Typhi_0.1.1	0.1.1		
ERR360668	0.1.2	39.638	PASS		Typhi_0.1.2	0.1.2		
ERR360486	0.1.3	37.515	PASS		Typhi_0.1.3	0.1.3		
ERR331221	2.1.1	59.847	PASS		Typhi_2.1.1	2.1.1		
ERR331214	2.1.1	58.932	PASS		Typhi_2.1.1	2.1.1		
ERR331218	2.1.1	58.12	PASS		Typhi_2.1.1	2.1.1		
ERR343252	2.1.2	23.426	PASS		Typhi_2.1.2	2.1.2		
ERR343251	2.1.2	26.797	PASS		Typhi_2.1.2	2.1.2		
ERR331225	2.1.3	58.356	PASS		Typhi_2.1.3	2.1.3		
ERR338052	2.1.3	45.671	PASS		Typhi_2.1.3	2.1.3		
ERR331212	2.1.3	53.171	PASS		Typhi_2.1.3	2.1.3		
ERR343250	2.1.4	25.015	PASS		Typhi_2.1.4	2.1.4		
ERR352302	2.1.5	45.929	PASS		Typhi_2.1.5	2.1.5		
ERR352467	2.1.5	43.145	PASS		Typhi_2.1.5	2.1.5		
ERR326636	2.1.6	65.8	PASS		Typhi_2.1.6	2.1.6		
ERR326645	2.1.6	62.088	PASS		Typhi_2.1.6	2.1.6		
ERR326625	2.1.6	47.667	PASS		Typhi_2.1.6	2.1.6		
ERR357831	2.1.6	42.676	PASS		Typhi_2.1.6	2.1.6		
ERR331252	2.1.6	52.197	PASS		Typhi_2.1.6	2.1.6		
ERR326615	2.1.6	52.736	PASS		Typhi_2.1.6	2.1.6		
ERR331253	2.1.6	42.014	PASS		Typhi_2.1.6	2.1.6		
ERR331245	2.1.6	58	PASS		Typhi_2.1.6	2.1.6		
ERR331258	2.1.6	45.157	PASS		Typhi_2.1.6	2.1.6		
ERR352476	2.1.7	42.478	PASS		Typhi_2.1.7	2.1.7		
ERR352319	2.1.7	40.559	PASS		Typhi_2.1.7	2.1.7		
ERR352487	2.1.7	42.371	PASS		Typhi_2.1.7	2.1.7		
ERR352255	2.1.7	76.429	PASS		Typhi_2.1.7	2.1.7		
ERR352318	2.1.7	41.765	PASS		Typhi_2.1.7	2.1.7		
ERR357480	2.1.7	42.271	PASS		Typhi_2.1.7	2.1.7		
ERR357456	2.1.7	45.957	PASS		Typhi_2.1.7	2.1.7		
ERR352491	2.1.7	54.941	PASS		Typhi_2.1.7	2.1.7		
ERR357478	2.1.7	48.551	PASS		Typhi_2.1.7	2.1.7		
ERR352482	2.1.7	45.986	PASS		Typhi_2.1.7	2.1.7		
ERR352300	2.1.7	35.391	PASS		Typhi_2.1.7	2.1.7		
ERR422792	2.1.7	39.722	PASS		Typhi_2.1.7	2.1.7		
ERR357471	2.1.7	42.868	PASS		Typhi_2.1.7	2.1.7		
ERR357452	2.1.7	51.294	PASS		Typhi_2.1.7	2.1.7		
ERR352314	2.1.7	40.809	PASS		Typhi_2.1.7	2.1.7		
ERR352489	2.1.7	42.931	PASS		Typhi_2.1.7	2.1.7		
ERR352321	2.1.7	46.853	PASS		Typhi_2.1.7	2.1.7		
ERR357798	2.1.7	42.871	PASS		Typhi_2.1.7	2.1.7		
ERR422790	2.1.7	33.565	PASS		Typhi_2.1.7	2.1.7		
ERR352301	2.1.7	39.671	PASS		Typhi_2.1.7	2.1.7		
ERR352941	2.1.7	55.206	PASS		Typhi_2.1.7	2.1.7		
ERR352322	2.1.7	43.612	PASS		Typhi_2.1.7	2.1.7		
ERR352490	2.1.7	46.928	PASS		Typhi_2.1.7	2.1.7		
ERR352500	2.1.7	45.058	PASS		Typhi_2.1.7	2.1.7		
ERR352320	2.1.7	48.529	PASS		Typhi_2.1.7	2.1.7		
ERR357481	2.1.7	41.721	PASS		Typhi_2.1.7	2.1.7		
ERR357470	2.1.7	48.557	PASS		Typhi_2.1.7	2.1.7		
ERR352288	2.1.7	42.985	PASS		Typhi_2.1.7	2.1.7		
ERR352477	2.1.7	48.765	PASS		Typhi_2.1.7	2.1.7		
ERR352496	2.1.7	47.971	PASS		Typhi_2.1.7	2.1.7		
ERR357804	2.1.7	38.147	PASS		Typhi_2.1.7	2.1.7		
ERR352503	2.1.7	44.739	PASS		Typhi_2.1.7	2.1.7		
ERR352497	2.1.7	42.652	PASS		Typhi_2.1.7	2.1.7		
ERR343289	2.1.7	22.809	PASS		Typhi_2.1.7	2.1.7		
ERR357811	2.1.7	42.884	PASS		Typhi_2.1.7	2.1.7		
ERR357472	2.1.7	41.159	PASS		Typhi_2.1.7	2.1.7		
ERR357810	2.1.7	42.357	PASS		Typhi_2.1.7	2.1.7		
ERR352427	2.1.7	47.609	PASS		Typhi_2.1.7	2.1.7		
ERR357455	2.1.7	46.721	PASS		Typhi_2.1.7	2.1.7		
ERR352309	2.1.7	44.871	PASS		Typhi_2.1.7	2.1.7		
ERR352478	2.1.7	45.618	PASS		Typhi_2.1.7	2.1.7		
ERR357447	2.1.7	43.174	PASS		Typhi_2.1.7	2.1.7		
ERR357449	2.1.7	46.014	PASS		Typhi_2.1.7	2.1.7		
ERR352493	2.1.7	46.159	PASS		Typhi_2.1.7	2.1.7		
ERR352492	2.1.7	49.264	PASS		Typhi_2.1.7	2.1.7		
ERR349412	2.1.7	28.014	PASS		Typhi_2.1.7	2.1.7		
ERR352287	2.1.7	35.29	PASS		Typhi_2.1.7	2.1.7		
ERR352483	2.1.7	53.059	PASS		Typhi_2.1.7	2.1.7		
ERR338061	2.1.8	35.147	PASS		Typhi_2.1.8	2.1.8		
ERR331216	2.1.8	65.253	PASS		Typhi_2.1.8	2.1.8		
ERR326640	2.1.8	62.871	PASS		Typhi_2.1.8	2.1.8		
ERR326650	2.1.8	61.781	PASS		Typhi_2.1.8	2.1.8		
ERR326623	2.1.8	62.7	PASS		Typhi_2.1.8	2.1.8		
ERR326598	2.1.8	44.913	PASS		Typhi_2.1.8	2.1.8		
ERR326629	2.1.9	48.351	PASS		Typhi_2.1.9	2.1.9		
ERR331224	2.1.9	54.486	PASS		Typhi_2.1.9	2.1.9		
ERR326624	2.1.9	59.929	PASS		Typhi_2.1.9	2.1.9		
ERR326635	2.1.9	58.058	PASS		Typhi_2.1.9	2.1.9		
ERR338050	2.1.9	54.043	PASS		Typhi_2.1.9	2.1.9		
ERR331217	2.1.9	56.84	PASS		Typhi_2.1.9	2.1.9		
ERR326642	2.1.9	48.014	PASS		Typhi_2.1.9	2.1.9		
ERR326644	2.1.9	59.4	PASS		Typhi_2.1.9	2.1.9		
ERR326618	2.1.9	64.942	PASS		Typhi_2.1.9	2.1.9		
ERR326637	2.1.9	48.608	PASS		Typhi_2.1.9	2.1.9		
ERR326653	2.1.9	66.466	PASS		Typhi_2.1.9	2.1.9		
ERR326648	2.1.9	56.859	PASS		Typhi_2.1.9	2.1.9		
ERR357756	2.2.1	43.662	PASS		Typhi_2.2.1	2.2.1		
ERR352947	2.2.1	38.324	PASS		Typhi_2.2.1	2.2.1		
ERR352428	2.2.1	53.58	PASS		Typhi_2.2.1	2.2.1		
ERR343260	2.2.1	24.116	PASS		Typhi_2.2.1	2.2.1		
ERR352433	2.2.1	52.368	PASS		Typhi_2.2.1	2.2.1		
ERR357631	2.2.1	42.956	PASS		Typhi_2.2.1	2.2.1		
ERR352440	2.2.1	47.614	PASS		Typhi_2.2.1	2.2.1		
ERR420418	2.2.1	54.333	PASS		Typhi_2.2.1	2.2.1		
ERR420416	2.2.1	61.101	PASS		Typhi_2.2.1	2.2.1		
ERR352257	2.2.1	35.826	PASS		Typhi_2.2.1	2.2.1		
ERR357837	2.2.1	40.406	PASS		Typhi_2.2.1	2.2.1		
ERR357778	2.2.2	46.809	PASS		Typhi_2.2.2	2.2.2		
ERR352952	2.2.2	51.13	PASS		Typhi_2.2.2	2.2.2		
ERR343286	2.2.2	30.544	PASS		Typhi_2.2.2	2.2.2		
ERR352510	2.2.2	41.086	PASS		Typhi_2.2.2	2.2.2		
ERR352950	2.2.2	50.971	PASS		Typhi_2.2.2	2.2.2		
ERR360804	2.2.2	37.691	PASS		Typhi_2.2.2	2.2.2		
ERR331366	2.2.2	49.746	PASS		Typhi_2.2.2	2.2.2		
ERR357790	2.2.2	35.928	PASS		Typhi_2.2.2	2.2.2		
ERR357767	2.2.2	42.912	PASS		Typhi_2.2.2	2.2.2		
ERR1017081	2.2.2	34.426	PASS		Typhi_2.2.2	2.2.2		
ERR331317	2.2.2.1	54.254	PASS		Typhi_2.2.3	2.2.3		
ERR340792	2.2.2.1	83.079	PASS		Typhi_2.2.3	2.2.3		
ERR331327	2.2.2.1	43.306	PASS		Typhi_2.2.3	2.2.3		
ERR331348	2.2.2.1	47.357	PASS		Typhi_2.2.3	2.2.3		
ERR340814	2.2.2.1	73.042	PASS		Typhi_2.2.3	2.2.3		
ERR331310	2.2.2.1	45.216	PASS		Typhi_2.2.3	2.2.3		
ERR326672	2.2.2.1	53.783	PASS		Typhi_2.2.3	2.2.3		
ERR343308	2.2.3.2	22.926	PASS		Typhi_2.3.2	2.3.2		
ERR352330	2.2.3.2	41.324	PASS		Typhi_2.3.2	2.3.2		
ERR353340	2.2.3.2	48.362	PASS		Typhi_2.3.2	2.3.2		
ERR360507	2.2.3.2	38.265	PASS		Typhi_2.3.2	2.3.2		
ERR360517	2.2.3.2	32.779	PASS		Typhi_2.3.2	2.3.2		
ERR360626	2.2.3.2	32.725	PASS		Typhi_2.3.2	2.3.2		
ERR360624	2.2.3.2	42.732	PASS		Typhi_2.3.2	2.3.2		
ERR360653	2.2.3.2	37	PASS		Typhi_2.3.2	2.3.2		
ERR349398	2.2.3.2	31.559	PASS		Typhi_2.3.2	2.3.2		
ERR360498	2.2.3.2	33.229	PASS		Typhi_2.3.2	2.3.2		
ERR353342	2.2.3.2	42.986	PASS		Typhi_2.3.2	2.3.2		
ERR360615	2.2.3.2	36.159	PASS		Typhi_2.3.2	2.3.2		
ERR360672	2.2.3.2	43.493	PASS		Typhi_2.3.2	2.3.2		
ERR349565	2.2.3.2	41.42	PASS		Typhi_2.3.2	2.3.2		
ERR360692	2.2.3.2	39.147	PASS		Typhi_2.3.2	2.3.2		
ERR360616	2.2.3.2.1	42.188	FAIL	"FAIL: Unconfident Results Error 4: Subtype ""2.2.3.2.1"" was found, but kmers for nested hierarchical subtype(s) ""2.2.3"" were missing. Due to missing kmers, there is a lack of confidence in the final subtype call."	Typhi_2.3.1	2.3.1	2.2.3.2.1 (2.3.1; 43X)	N/A
ERR360648	2.2.3.2.1	43.333	PASS		Typhi_2.3.1	2.3.1		
ERR360620	2.2.3.2.1	42.029	PASS		Typhi_2.3.1	2.3.1		
ERR360634	2.2.3.2.1	41.265	PASS		Typhi_2.3.1	2.3.1		
ERR360636	2.2.3.2.1	43.721	PASS		Typhi_2.3.1	2.3.1		
ERR360660	2.2.3.2.1	33.75	PASS		Typhi_2.3.1	2.3.1		
ERR360651	2.2.3.2.1	39.618	PASS		Typhi_2.3.1	2.3.1		
ERR360520	2.2.3.2.1	36.265	PASS		Typhi_2.3.1	2.3.1		
ERR360489	2.2.3.2.1	34.179	PASS		Typhi_2.3.1	2.3.1		
ERR360628	2.2.3.2.1	41.101	PASS		Typhi_2.3.1	2.3.1		
ERR360640	2.2.3.2.1	40.768	PASS		Typhi_2.3.1	2.3.1		
ERR360669	2.2.3.2.1	39.206	PASS		Typhi_2.3.1	2.3.1		
ERR360519	2.2.3.2.1	36.794	PASS		Typhi_2.3.1	2.3.1		
ERR360663	2.2.3.2.1	39.956	PASS		Typhi_2.3.1	2.3.1		
ERR360665	2.2.3.2.1	41.71	PASS		Typhi_2.3.1	2.3.1		
ERR360679	2.2.3.2.1	43.116	PASS		Typhi_2.3.1	2.3.1		
ERR360674	2.2.3.2.1	43.232	PASS		Typhi_2.3.1	2.3.1		
ERR360647	2.2.3.2.1	34.691	PASS		Typhi_2.3.1	2.3.1		
ERR360524	2.2.3.2.1	36.926	PASS		Typhi_2.3.1	2.3.1		
ERR360494	2.2.3.2.1	32.638	PASS		Typhi_2.3.1	2.3.1		
ERR360666	2.2.3.2.1	40.765	PASS		Typhi_2.3.1	2.3.1		
ERR353335	2.2.3.3	60.708	PASS		Typhi_2.3.3	2.3.3		
ERR353331	2.2.3.3	57.754	PASS		Typhi_2.3.3	2.3.3		
ERR360662	2.2.3.3	39.368	PASS		Typhi_2.3.3	2.3.3		
ERR422788	2.2.3.3	37.588	PASS		Typhi_2.3.3	2.3.3		
ERR360479	2.2.3.3	40.159	PASS		Typhi_2.3.3	2.3.3		
ERR353336	2.2.3.3	60.319	PASS		Typhi_2.3.3	2.3.3		
ERR422811	2.2.3.3	44.103	PASS		Typhi_2.3.3	2.3.3		
ERR360469	2.2.3.3	35.657	PASS		Typhi_2.3.3	2.3.3		
ERR349424	2.2.3.3	29.853	PASS		Typhi_2.3.3	2.3.3		
ERR353332	2.2.3.3	51.408	PASS		Typhi_2.3.3	2.3.3		
ERR360650	2.2.3.3	36.648	PASS		Typhi_2.3.3	2.3.3		
ERR326684	2.2.3.4	49.233	PASS		Typhi_2.3.4	2.3.4		
ERR349376	2.2.3.4	27.971	PASS		Typhi_2.3.4	2.3.4		
ERR331316	2.2.3.4	52.348	PASS		Typhi_2.3.4	2.3.4		
ERR326660	2.2.3.4	63.014	PASS		Typhi_2.3.4	2.3.4		
ERR340810	2.2.3.4	86.23	PASS		Typhi_2.3.4	2.3.4		
ERR326666	2.2.3.4	49.214	PASS		Typhi_2.3.4	2.3.4		
ERR326665	2.2.3.4	41.466	PASS		Typhi_2.3.4	2.3.4		
ERR331298	2.2.3.4	49.643	PASS		Typhi_2.3.4	2.3.4		
ERR340808	2.2.3.4	81.703	PASS		Typhi_2.3.4	2.3.4		
ERR326688	2.2.3.4	40.521	PASS		Typhi_2.3.4	2.3.4		
ERR326668	2.2.3.4	44.652	PASS		Typhi_2.3.4	2.3.4		
ERR352269	2.2.3.4	39.912	PASS		Typhi_2.3.4	2.3.4		
ERR213275	2.2.3.5	150.184	PASS		Typhi_2.3.5	2.3.5		
ERR357805	2.2.3.5	38.928	PASS		Typhi_2.3.5	2.3.5		
ERR352502	2.2.3.5	42.824	PASS		Typhi_2.3.5	2.3.5		
ERR213266	2.2.3.5	131.843	PASS		Typhi_2.3.5	2.3.5		
ERR213283	2.2.3.5	171.28	PASS		Typhi_2.3.5	2.3.5		
ERR352495	2.2.3.5	47.803	PASS		Typhi_2.3.5	2.3.5		
ERR213274	2.2.3.5	179.705	PASS		Typhi_2.3.5	2.3.5		
ERR213282	2.2.3.5	159.564	PASS		Typhi_2.3.5	2.3.5		
ERR357479	2.2.3.5	44.087	PASS		Typhi_2.3.5	2.3.5		
ERR213286	2.2.3.5	162.833	PASS		Typhi_2.3.5	2.3.5		
ERR357808	2.2.3.5	41.652	PASS		Typhi_2.3.5	2.3.5		
ERR352499	2.2.3.5	44.426	PASS		Typhi_2.3.5	2.3.5		
ERR213284	2.2.3.5	159.974	PASS		Typhi_2.3.5	2.3.5		
ERR213281	2.2.3.5	137.87	PASS		Typhi_2.3.5	2.3.5		
ERR352262	2.2.3.5	42.101	PASS		Typhi_2.3.5	2.3.5		
ERR343325	2.2.4	23.456	PASS		Typhi_2.2.4	2.2.4		
ERR279352	2.2.4	84.236	PASS		Typhi_2.2.4	2.2.4		
ERR279353	2.2.4	90.691	PASS		Typhi_2.2.4	2.2.4		
ERR331373	2.3.1	45.722	PASS		Typhi_3.1.0	3.1.0		
ERR294858	2.3.1	114.871	PASS		Typhi_3.1.0	3.1.0		
ERR360522	2.3.1	37.099	PASS		Typhi_3.1.0	3.1.0		
ERR343295	2.3.1	25.676	PASS		Typhi_3.1.0	3.1.0		
ERR360629	2.3.1	44.132	PASS		Typhi_3.1.0	3.1.0		
ERR352426	2.3.1	49.721	PASS		Typhi_3.1.0	3.1.0		
ERR360631	2.3.1	39.941	PASS		Typhi_3.1.0	3.1.0		
ERR352254	2.3.1	50.557	PASS		Typhi_3.1.0	3.1.0		
ERR360694	2.3.1	37.382	PASS		Typhi_3.1.0	3.1.0		
ERR338049	2.3.1	41.373	PASS		Typhi_3.1.0	3.1.0		
ERR360659	2.3.1	33.514	PASS		Typhi_3.1.0	3.1.0		
ERR349405	2.3.1	26.914	PASS		Typhi_3.1.0	3.1.0		
ERR360483	2.3.1	40.221	PASS		Typhi_3.1.0	3.1.0		
ERR352256	2.3.1	45.043	PASS		Typhi_3.1.0	3.1.0		
ERR360682	2.3.1.1	33.956	PASS		Typhi_3.1.1	3.1.1		
ERR360525	2.3.1.1	38.265	PASS		Typhi_3.1.1	3.1.1		
ERR360530	2.3.1.1	41.265	PASS		Typhi_3.1.1	3.1.1		
ERR360675	2.3.1.1	42.634	PASS		Typhi_3.1.1	3.1.1		
ERR360501	2.3.1.1	39.221	PASS		Typhi_3.1.1	3.1.1		
ERR360529	2.3.1.1	41.941	PASS		Typhi_3.1.1	3.1.1		
ERR1017041	2.3.1.1	32.69	PASS		Typhi_3.1.1	3.1.1		
ERR360645	2.3.1.1	40	PASS		Typhi_3.1.1	3.1.1		
ERR360633	2.3.1.1	34.544	PASS		Typhi_3.1.1	3.1.1		
ERR360500	2.3.1.1	38.5	PASS		Typhi_3.1.1	3.1.1		
ERR360513	2.3.1.1	36.029	PASS		Typhi_3.1.1	3.1.1		
ERR1017096	2.3.1.1	30.118	PASS		Typhi_3.1.1	3.1.1		
ERR360527	2.3.1.1	39.897	PASS		Typhi_3.1.1	3.1.1		
