accession	snippy_bam_mean_depth	bases	estimated_raw_sequence_coverage	BioHansel_k-mer_coverage	sistr_serovar	coverage_enterobase
ERR1791790	63.68187311	312035250	69.34116667	42.973	Typhi	66
ERR586791	121.6467499	607144000	134.9208889	75.944	Typhi	126.45
ERR1837178	160.980321	790761500	175.7247778	112.887	Typhi	167
ERR360492	56.57300973	286049000	63.56644444	39.676	Typhi	61
ERR420424	143.6946108	728192600	161.8205778	91.338	Typhi	152
ERR352254	76.6003441	377705600	83.93457778	50.557	Typhi	81
ERR360569	54.80292582	270496600	60.11035556	38.647	Typhi	56.87
ERR352263	54.07673948	268410200	59.64671111	36.721	Typhi	57
ERR352892	74.52903461	368206400	81.82364444	51.926	Typhi	77.94
ERR343251	38.01550102	186533200	41.45182222	26.797	Typhi	40
ERR360725	46.97912867	230651200	51.25582222	33.897	Typhi	50.14
ERR343413	39.68312346	196426800	43.6504	27.391	Typhi	41
ERR1764857	63.1129644	308222250	68.49383333	44.652	Typhi	65
ERR326610	71.60658132	359268000	79.83733333	47.536	Typhi	76
ERR340780	138.0033398	693629800	154.1399556	84.646	Typhi	145
ERR357621	60.17464869	296453800	65.87862222	41.706	Typhi	63
ERR460339	101.1803825	502137800	111.5861778	65.3	Typhi	105.02
ERR349559	46.52579612	228095800	50.68795556	30.667	Typhi	47.25
ERR1788773	44.909349	217732250	48.38494444	33.088	Typhi	46
ERR1764761	60.73336637	295347500	65.63277778	45.057	Typhi	62
ERR326626	95.29862528	483471600	107.4381333	60.222	Typhi	103
ERR422828	56.29281455	276359000	61.41311111	37.882	Typhi	58.42
ERR1764673	64.38405173	313037500	69.56388889	47.478	Typhi	66
ERR360637	60.11785811	303769200	67.50426667	40.926	Typhi	65
ERR657420	108.8888187	545131000	121.1402222	71.718	Typhi	112.9
ERR319462	67.48996192	335849400	74.6332	48.353	Typhi	69.95
ERR357801	59.28066388	291313200	64.73626667	40.706	Typhi	61.69
ERR422750	50.65757427	256054000	56.90088889	34.971	Typhi	53.7
ERR586724	92.8665893	464889200	103.3087111	60.595	Typhi	97
ERR204271	255.7103449	1283631000	285.2513333	159.493	Typhi	271
ERR331225	92.57781568	485012600	107.7805778	58.356	Typhi	102.16
ERR1764777	76.1157685	376530750	83.6735	55.928	Typhi	78
ERR360559	62.79544761	332257800	73.83506667	43.162	Typhi	68
ERR1791789	68.10078525	334020250	74.22672222	48.07	Typhi	70
ERR331310	73.88772264	365809600	81.29102222	45.216	Typhi	77.52
ERR343329	41.92418503	204277000	45.39488889	27.725	Typhi	43.32
ERR1764742	61.57989552	301518750	67.00416667	45.957	Typhi	63
ERR586895	98.04378382	509878200	113.3062667	63.391	Typhi	102
ERR326683	79.54402867	397167600	88.25946667	52.971	Typhi	84
ERR1764651	68.2625064	331889250	73.75316667	49.594	Typhi	70
ERR360432	61.88274576	306923600	68.20524444	42.265	Typhi	67
ERR1791777	66.46776309	328445750	72.98794444	48.029	Typhi	68
ERR1788742	54.59692096	264745750	58.83238889	39.101	Typhi	56
ERR279243	92.11486853	461518000	102.5595556	59.507	Typhi	96.49
ERR360371	66.19990385	331598600	73.68857778	46.029	Typhi	71.09
ERR338046	77.13119404	378801600	84.17813333	48.808	Typhi	80.46
ERR360814	49.34847247	242423400	53.87186667	36.029	Typhi	52
ERR1764819	62.4172118	305863000	67.96955556	43.887	Typhi	64
ERR314378	78.0765542	384799200	85.51093333	49.577	Typhi	82
ERR360578	51.41273773	267786600	59.50813333	35.221	Typhi	55
ERR360700	52.39333551	257468000	57.21511111	36.691	Typhi	56
ERR586783	82.97212124	410642600	91.25391111	59.243	Typhi	88.31
ERR360475	54.37285219	267562400	59.45831111	36.706	Typhi	56.89
ERR1791833	71.25347611	347729250	77.27316667	51.296	Typhi	74
ERR2210641	74.27540088	368837614	81.96391422	48.779	Typhi	78
ERR235122	71.49850292	359901200	79.97804444	45.411	Typhi	77
ERR338160	81.78855725	424365000	94.30333333	52.569	Typhi	86
ERR1764735	59.49318835	292579250	65.01761111	43.232	Typhi	61
ERR352717	45.25372294	231653600	51.47857778	30.333	Typhi	46.9
ERR360761	58.08972046	301749200	67.05537778	38.897	Typhi	62
ERR586793	114.4715611	574826600	127.7392444	72.493	Typhi	118.94
ERR1764743	59.13264548	288271000	64.06022222	41.143	Typhi	61
ERR460310	115.7567045	576060600	128.0134667	73.423	Typhi	120.28
ERR1764769	52.89797001	259060750	57.56905556	38.618	Typhi	54
ERR1764572	59.01738789	288563750	64.12527778	41.486	Typhi	61
ERR331298	74.28064392	367310600	81.62457778	49.643	Typhi	77.68
ERR657453	168.3116015	848925800	188.6501778	108.875	Typhi	175
ERR1764842	66.02739031	323594750	71.90994444	47.353	Typhi	68
ERR586792	114.410655	566549400	125.8998667	74.085	Typhi	117.81
ERR1791792	73.39210636	360810750	80.18016667	52.565	Typhi	75
ERR338019	78.44049879	385629000	85.69533333	51.594	Typhi	82
ERR352942	74.72147709	367963600	81.76968889	49.314	Typhi	77.61
ERR357823	52.7389442	259103200	57.57848889	36.956	Typhi	55
ERR460351	92.83342237	460320600	102.2934667	63.956	Typhi	96.51
ERR331218	96.04379983	491173600	109.1496889	58.12	Typhi	104
ERR326620	82.79916104	490025400	108.8945333	52.714	Typhi	104
ERR357623	64.72829987	325296400	72.28808889	43.162	Typhi	66
ERR1764807	61.33635653	300027750	66.67283333	44.941	Typhi	63
ERR338159	66.12441514	341693200	75.93182222	43.275	Typhi	70
ERR360634	60.0241225	298153400	66.25631111	41.265	Typhi	63
ERR279137	105.4784931	527840400	117.2978667	66.359	Typhi	111.25
ERR326687	74.01949746	371393800	82.53195556	49.873	Typhi	79
ERR1764785	73.8305561	361075500	80.239	54.043	Typhi	76
ERR331366	77.675623	382649200	85.03315556	49.746	Typhi	82
ERR326636	101.5173707	537446600	119.4325778	65.8	Typhi	112
ERR338042	120.9533514	598754400	133.0565333	75.757	Typhi	126.28
ERR1764850	70.82614419	346554750	77.01216667	51.217	Typhi	73
ERR1764739	82.0082216	403076000	89.57244444	59.086	Typhi	85
ERR1764532	69.22328753	339211250	75.38027778	49.188	Typhi	71
ERR360680	64.43126763	316394800	70.30995556	44.757	Typhi	68.01
ERR326605	63.80645668	332490600	73.8868	39.472	Typhi	71
ERR1791799	73.19930248	357927750	79.5395	53.456	Typhi	75
ERR331214	90.70063923	463234400	102.9409778	58.932	Typhi	97.54
ERR1764790	64.70998435	318374750	70.74994444	49.368	Typhi	67
ERR460219	108.0883482	537604800	119.4677333	70.857	Typhi	112.04
ERR1764752	58.0692332	284291250	63.17583333	42.662	Typhi	59
ERR1764686	61.27713885	299491000	66.55355556	44.103	Typhi	63
ERR1764856	65.51308027	320569500	71.23766667	45.797	Typhi	67
ERR352416	62.01133553	307244400	68.27653333	42.594	Typhi	64
ERR460334	91.31528329	455989800	101.3310667	57.577	Typhi	94.57
ERR314357	96.29174344	481306800	106.9570667	54.7	Typhi	102
ERR1764714	81.90214028	400865500	89.08122222	62.147	Typhi	84
ERR279182	120.5318853	594452800	132.1006222	72.532	Typhi	126.32
ERR460347	101.5078524	505079800	112.2399556	63.77	Typhi	105.27
ERR1764792	66.80864693	336613000	74.80288889	47.536	Typhi	71
ERR331241	92.94025186	482138400	107.1418667	59.886	Typhi	102.22
ERR1764872	64.13658514	316527000	70.33933333	44.861	Typhi	66
ERR349388	49.79735985	243337600	54.07502222	32.812	Typhi	52.99
ERR586801	100.1327844	505646600	112.3659111	66.914	Typhi	103.94
ERR340766	136.6110791	697785000	155.0633333	85.569	Typhi	147.99
ERR340810	142.0746967	704795800	156.6212889	86.23	Typhi	149
ERR360571	52.05707692	255971400	56.88253333	35.362	Typhi	55
ERR352913	75.81171324	372449800	82.76662222	50.9	Typhi	79
ERR1764723	67.53406971	330242000	73.38711111	49.353	Typhi	69
ERR314381	97.94406968	486513200	108.1140444	62.458	Typhi	104
ERR357756	65.36843676	328556800	73.01262222	43.662	Typhi	67.3
ERR360803	48.17469256	236429600	52.53991111	34.456	Typhi	50
ERR352536	66.74994827	327993800	72.88751111	44.831	Typhi	69.65
ERR1764680	55.72362804	272567250	60.5705	41.324	Typhi	57
ERR338003	71.6058581	351908200	78.20182222	47.843	Typhi	75
ERR1764696	72.90836793	357233750	79.38527778	54.75	Typhi	75
ERR1764833	57.76159156	282868750	62.85972222	42.353	Typhi	59
ERR422796	46.97057186	230746400	51.27697778	32.544	Typhi	48.76
ERR460281	116.8003995	581272400	129.1716444	70.205	Typhi	121.41
ERR340798	155.5620412	781925400	173.7612	100.357	Typhi	164
ERR1764690	66.84380054	326884000	72.64088889	48.129	Typhi	69
ERR460343	77.59819232	390000600	86.6668	50.632	Typhi	80.22
ERR331320	84.7592308	428594200	95.24315556	53.792	Typhi	89.06
ERR340804	166.7865593	828856600	184.1903556	104.403	Typhi	174
ERR314379	93.4047721	463792000	103.0648889	61.971	Typhi	99
ERR360517	44.99325832	226299400	50.28875556	32.779	Typhi	45.87
ERR349332	49.87911239	243712800	54.1584	32.667	Typhi	51.56
ERR338153	105.1844442	529867600	117.7483556	62.395	Typhi	111
ERR360775	42.0789027	215342000	47.85377778	29.176	Typhi	44
ERR349534	52.76404528	265128200	58.91737778	34.735	Typhi	53.71
ERR1764740	74.40657433	361963000	80.43622222	53.029	Typhi	76
ERR326654	86.46167871	456916000	101.5368889	54.027	Typhi	97
ERR360611	56.64094038	281306800	62.51262222	39.75	Typhi	60
ERR213267	297.4471918	1498442200	332.9871556	187.425	Typhi	317
ERR467108	107.9389857	565064200	125.5698222	75.246	Typhi	116.34
ERR340792	144.2218003	714597000	158.7993333	83.079	Typhi	151
ERR352650	57.45680684	287373400	63.86075556	38.886	Typhi	1
ERR586910	94.48217325	512937400	113.9860889	60.754	Typhi	102
ERR1837151	143.7956352	702997500	156.2216667	98.589	Typhi	149
ERR340771	148.899777	777884600	172.8632444	98.014	Typhi	157
ERR586797	111.1036657	558675600	124.1501333	70.732	Typhi	115.42
ERR1791779	70.10315329	343458250	76.32405556	49.571	Typhi	72
ERR1764703	81.76486997	401035500	89.119	60.735	Typhi	84
ERR349397	50.19659778	246520000	54.78222222	33.926	Typhi	51.96
ERR338127	96.95582567	486989800	108.2199556	60.288	Typhi	100.77
ERR1764864	59.6625131	291261000	64.72466667	45.074	Typhi	61
ERR1764859	65.3058446	325981250	72.44027778	47.853	Typhi	67
ERR360489	48.81607773	243749600	54.16657778	34.179	Typhi	53
ERR460265	109.7588149	546404200	121.4231556	68.625	Typhi	113.84
ERR1764676	64.19589889	314069250	69.79316667	46.941	Typhi	66
ERR360617	57.41988344	281495400	62.55453333	38.043	Typhi	60
ERR1764779	69.81980155	344112250	76.46938889	50.435	Typhi	71
ERR360373	56.75449887	282311400	62.73586667	39.324	Typhi	61.61
ERR460312	104.2044353	517100200	114.9111556	68.971	Typhi	108.55
ERR338064	66.74736938	344608800	76.57973333	44.304	Typhi	72.87
ERR360766	50.08515405	252056000	56.01244444	35.116	Typhi	51.02
ERR1764549	69.39599924	339289250	75.39761111	51.246	Typhi	71
ERR360575	68.06516627	337190000	74.93111111	44.614	Typhi	70.53
ERR343277	37.66409429	186813400	41.51408889	25.768	Typhi	39.4
ERR331304	73.01823234	361384000	80.30755556	44.521	Typhi	76.17
ERR1764659	63.20094543	341474750	75.88327778	44.571	Typhi	70
ERR352269	61.36160899	301399400	66.97764444	39.912	Typhi	64
ERR460214	112.999973	562063200	124.9029333	73.464	Typhi	117.3
ERR1837136	195.6388194	956530250	212.5622778	146.643	Typhi	209
ERR279117	108.8961778	538726000	119.7168889	70.649	Typhi	113.66
ERR331280	87.02609088	432160600	96.03568889	56.394	Typhi	92
ERR1764694	61.29283014	300731750	66.82927778	43.229	Typhi	63
ERR357416	80.54069515	396893200	88.19848889	56.464	Typhi	85
ERR337993	55.3888737	305597800	67.91062222	35.789	Typhi	65
ERR360696	56.01590069	286848400	63.74408889	40.5	Typhi	60
ERR343283	42.72716908	208671000	46.37133333	29.044	Typhi	44.78
ERR326665	64.21720918	316706400	70.3792	41.466	Typhi	68
ERR314367	92.16942581	455055600	101.1234667	61.391	Typhi	97
ERR1764869	66.314773	324408000	72.09066667	47.794	Typhi	68
ERR439112	83.86403411	418404200	92.97871111	56.779	Typhi	85.33
ERR1764701	68.1440987	334163500	74.25855556	50	Typhi	70
ERR1788739	54.62976413	267031500	59.34033333	39.6	Typhi	56
ERR326672	82.06432889	402624800	89.47217778	53.783	Typhi	86
ERR1079293	34.62851003	191305177	42.51226156	29.072	Typhi	41
ERR1010014	101.6015329	500135000	111.1411111	67.971	Typhi	104
ERR331300	71.48501457	352165400	78.25897778	47.783	Typhi	74.88
ERR360383	53.20790524	264419200	58.75982222	37.279	Typhi	57.23
ERR360531	59.18772241	291145000	64.69888889	41.235	Typhi	63.07
ERR467116	120.1107977	614323000	136.5162222	78.722	Typhi	128.68
ERR279134	107.0039299	529148000	117.5884444	71.23	Typhi	111.66
ERR1764534	69.86281203	342299000	76.06644444	50.559	Typhi	72
ERR360635	52.73120481	258321200	57.40471111	37.824	Typhi	57
ERR352337	83.35586626	410796200	91.28804444	56.116	Typhi	88
ERR326623	92.04603437	470870400	104.6378667	62.7	Typhi	100
ERR460374	82.53446231	432762200	96.16937778	51.767	Typhi	87.36
ERR340814	115.2932491	654340800	145.4090667	73.042	Typhi	138.25
ERR326614	72.79003863	370975200	82.43893333	45.403	Typhi	79
ERR352521	70.01708887	349610400	77.6912	46.803	Typhi	72.96
ERR331381	63.34622004	311291800	69.17595556	41.887	Typhi	67
ERR340816	137.8105704	688829400	153.0732	86.694	Typhi	151.11
ERR360830	50.26319199	248094600	55.13213333	34.662	Typhi	53
ERR331295	73.11381801	372059400	82.67986667	46	Typhi	77.18
ERR1791763	71.47944963	349857750	77.74616667	53.235	Typhi	74
ERR279189	92.64895675	458367800	101.8595111	63.471	Typhi	96.65
ERR1764793	61.99075241	306402500	68.08944444	44.957	Typhi	63
ERR460213	118.9838907	595022200	132.2271556	75.211	Typhi	125
ERR360439	62.31550225	307980400	68.44008889	43.191	Typhi	65.3
ERR460326	108.2428457	540668400	120.1485333	66	Typhi	112.32
ERR2602783	53.15377195	304693840	67.70974222	37.479	Typhi	62
ERR1791781	75.16590078	367675250	81.70561111	54.043	Typhi	78
ERR357421	86.64412272	425427800	94.53951111	61.812	Typhi	89.97
ERR357584	67.1339709	330919600	73.53768889	43.746	Typhi	69
ERR352396	67.2643548	333158400	74.0352	45.279	Typhi	69
ERR326655	101.3358533	502339400	111.6309778	66.972	Typhi	106
ERR1791771	74.2844241	364765500	81.059	52.333	Typhi	76
ERR338115	89.32314682	449340600	99.85346667	58.386	Typhi	92.94
ERR357741	62.42615621	308378600	68.52857778	42.132	Typhi	66
ERR331370	65.38068432	322557000	71.67933333	42.352	Typhi	69
ERR352643	50.68711948	256368800	56.97084444	34.268	Typhi	54
ERR360498	50.5341978	251834800	55.96328889	33.229	Typhi	53
ERR338030	72.9797134	361103000	80.24511111	47.783	Typhi	77
ERR460324	107.0187674	533084400	118.4632	64.919	Typhi	111.38
ERR340763	173.7150683	962651800	213.9226222	107.184	Typhi	194
ERR1764699	73.03682296	361790750	80.39794444	50.62	Typhi	75
ERR1791829	57.683897	285129500	63.36211111	42.779	Typhi	59
ERR460228	85.01279466	468169600	104.0376889	53.714	Typhi	97.09
ERR422749	52.65884812	258722000	57.49377778	37.191	Typhi	55
ERR586804	104.0814327	526204600	116.9343556	69.623	Typhi	109.45
ERR467084	79.60867737	409810800	91.06906667	52.514	Typhi	85.82
ERR352555	71.70667495	350480200	77.88448889	48.721	Typhi	77
ERR360704	49.6525687	247625000	55.02777778	36.176	Typhi	54
ERR326664	82.88706388	416097200	92.46604444	54.114	Typhi	87
ERR331212	86.57456056	452953400	100.6563111	53.171	Typhi	95.46
ERR1082895	117.0422463	573681500	127.4847778	77.164	Typhi	122
ERR349558	48.4575467	236741800	52.60928889	33.309	Typhi	49.43
ERR1791860	85.1788017	428175000	95.15	60.044	Typhi	89
ERR357600	56.36587949	278506400	61.89031111	39.221	Typhi	58
ERR360681	59.76305589	296504400	65.88986667	41.912	Typhi	64
ERR1764763	73.90261106	361319750	80.29327778	53.765	Typhi	76
ERR460318	116.4312003	588029600	130.6732444	74.8	Typhi	125
ERR352574	65.08208151	323220400	71.82675556	43.257	Typhi	69
ERR338028	75.20809863	369320200	82.07115556	49.113	Typhi	78.62
ERR360822	47.40732292	233009800	51.77995556	33.478	Typhi	49.15
ERR338020	67.93695349	354706000	78.82355556	44.843	Typhi	72.39
ERR343376	36.9192462	180345000	40.07666667	24.676	Typhi	38.56
ERR357716	62.21868661	306013200	68.00293333	43.353	Typhi	64
ERR338123	91.3935212	459355200	102.0789333	56.347	Typhi	95.06
ERR439120	88.56023129	441462000	98.10266667	60.329	Typhi	91.93
ERR360411	60.53167505	301188000	66.93066667	42.368	Typhi	66
ERR1764729	61.40520691	300436750	66.76372222	43.265	Typhi	63
ERR460297	122.4336773	610275800	135.6168444	79.243	Typhi	127.17
ERR349542	46.57457512	226570800	50.34906667	30.71	Typhi	47.34
ERR331341	64.29372242	317664600	70.59213333	41.486	Typhi	68
ERR657454	137.2032817	703349400	156.2998667	87.569	Typhi	153
ERR357641	75.63617373	373242800	82.94284444	52.309	Typhi	79
ERR360548	57.62250031	283858000	63.07955556	39.118	Typhi	60
ERR1764774	64.77672432	320619250	71.24872222	45.775	Typhi	67
ERR1764776	54.76925588	268301500	59.62255556	38.691	Typhi	56
ERR460355	111.2382868	556612600	123.6916889	73.217	Typhi	119.7
ERR1764863	68.0918816	341743000	75.94288889	48.377	Typhi	72
ERR360546	65.72539825	324434400	72.09653333	44.696	Typhi	69
ERR326637	78.38113535	391696400	87.04364444	48.608	Typhi	83
ERR357580	73.51309524	381407200	84.75715556	49.279	Typhi	77.91
ERR360743	46.5281598	236662600	52.59168889	32.074	Typhi	47.92
ERR340793	174.5735658	908127200	201.8060444	116.378	Typhi	192
ERR586794	105.5007479	545671600	121.2603556	68.229	Typhi	111.01
ERR357653	59.94385238	308626400	68.58364444	41.75	Typhi	62
ERR331294	74.70834639	379377200	84.30604444	47.644	Typhi	1
ERR360975	82.73640689	424714000	94.38088889	57	Typhi	87
ERR326598	67.47212987	342324600	76.07213333	44.913	Typhi	72
ERR349613	46.72839739	235308400	52.29075556	31.426	Typhi	47.14
ERR1791802	68.85096871	340077000	75.57266667	49.586	Typhi	71
ERR1764808	63.28072252	310986500	69.10811111	45.681	Typhi	65
ERR360585	59.46133166	294662600	65.48057778	40.143	Typhi	63
ERR2213879	209.1359387	1039901500	231.0892222	141.712	Typhi	216
ERR357581	77.70026639	387543800	86.12084444	54.652	Typhi	82
ERR349480	51.68408769	255283800	56.72973333	35.217	Typhi	53.39
ERR1791791	67.02185011	329813500	73.29188889	48.225	Typhi	69
ERR460353	97.29937324	484538200	107.6751556	63.736	Typhi	104.29
ERR1764831	60.81587935	297896000	66.19911111	43.486	Typhi	62
ERR326649	89.87875847	481126400	106.9169778	58.7	Typhi	102
ERR360372	65.27123081	324964800	72.2144	46.338	Typhi	70.44
ERR352711	46.56446166	238738000	53.05288889	31.058	Typhi	48.34
ERR420426	146.1529585	741708600	164.8241333	89.444	Typhi	155
ERR1791768	76.46587394	393837500	87.51944444	55.159	Typhi	81
ERR360593	60.5586867	299248400	66.49964444	40.657	Typhi	63.37
ERR1764574	61.73241379	302462500	67.21388889	43.571	Typhi	63
ERR357451	73.68268366	362566400	80.57031111	49.743	Typhi	76.44
ERR1082888	135.6035481	666944750	148.2099444	96.471	Typhi	141
ERR331261	87.45530176	489413800	108.7586222	54.838	Typhi	104
ERR1791769	71.55686014	349635750	77.69683333	50.271	Typhi	73
ERR338105	85.60682399	433687200	96.37493333	53.63	Typhi	89.65
ERR1791797	72.59589165	363097000	80.68822222	52.486	Typhi	76
ERR1791812	68.87793003	337374750	74.97216667	50.071	Typhi	71
ERR1010076	87.22309789	434944800	96.6544	58.603	Typhi	90
ERR1791854	79.10294452	385485750	85.6635	57.721	Typhi	81
ERR331240	86.81261633	467611600	103.9136889	52.577	Typhi	98.5
ERR420414	90.120835	462583800	102.7964	56.817	Typhi	94.01
ERR1010007	110.3159618	549892200	122.1982667	72.577	Typhi	113
ERR586718	97.0584275	488390200	108.5311556	64.551	Typhi	101
ERR352705	46.10821792	226842800	50.40951111	30.232	Typhi	47.87
ERR340815	132.695559	701694800	155.9321778	87.129	Typhi	141.87
ERR360795	55.18110861	271280000	60.28444444	38.986	Typhi	56
ERR1764804	67.05290768	331481750	73.66261111	48.809	Typhi	69
ERR360737	50.46662045	248196800	55.15484444	35.588	Typhi	53
ERR360606	58.37840591	289204800	64.26773333	39.768	Typhi	61.04
ERR1036217	103.4225517	512445900	113.8768667	81.471	Typhi	108
ERR357457	66.54335036	326720400	72.60453333	45.217	Typhi	69.19
ERR326638	89.56339284	451585800	100.3524	55.406	Typhi	96
ERR349532	48.40367812	236565600	52.57013333	31.87	Typhi	50.07
ERR352527	71.63313882	350756600	77.94591111	48.956	Typhi	77
ERR326686	59.94055546	294643200	65.47626667	39.225	Typhi	63
ERR1010015	105.4458466	519463400	115.4363111	66.534	Typhi	109
ERR338040	71.42860244	350835800	77.96351111	46.686	Typhi	74.87
ERR420416	95.97959654	487804800	108.4010667	61.101	Typhi	102.29
ERR460315	104.2571434	547372600	121.6383556	62.658	Typhi	109.61
ERR1764818	63.35963396	308998750	68.66638889	45.203	Typhi	65
ERR352311	60.89243106	299815600	66.62568889	41.926	Typhi	64
ERR1764731	74.88607532	366450000	81.43333333	54.882	Typhi	77
ERR294858	178.6909533	881950400	195.9889778	114.871	Typhi	1
ERR340769	168.4089	833678200	185.2618222	97.618	Typhi	175
ERR357442	63.27254209	310273400	68.94964444	44.235	Typhi	65.72
ERR1788767	46.45983843	225195000	50.04333333	34.956	Typhi	47
ERR340781	144.9150279	721053800	160.2341778	90.027	Typhi	151
ERR1788743	55.17459525	268606000	59.69022222	40.088	Typhi	56
ERR352302	68.49453747	338835800	75.29684444	45.929	Typhi	72
ERR1764838	64.52579903	315734750	70.16327778	46.176	Typhi	66
ERR314328	94.15105207	467071200	103.7936	59.817	Typhi	98.92
ERR360763	58.76260715	296783200	65.95182222	41.794	Typhi	61
ERR460323	102.9090047	510993800	113.5541778	66.371	Typhi	106.82
ERR360777	54.56042322	290992200	64.66493333	36.362	Typhi	59
ERR360404	54.07194164	268173400	59.59408889	37.294	Typhi	59
ERR1764882	61.9621708	310589500	69.01988889	45.559	Typhi	65
ERR331335	68.99944376	353314400	78.51431111	47.691	Typhi	72
ERR1764691	72.60948918	355001500	78.88922222	52.074	Typhi	75
ERR352941	81.60135907	403408200	89.64626667	55.206	Typhi	85.03
ERR1791803	75.37475361	366337750	81.40838889	53.366	Typhi	77
ERR360568	60.0239653	308889600	68.64213333	39.971	Typhi	64
ERR331317	84.13627032	416257400	92.50164444	54.254	Typhi	88.22
ERR1791806	65.17532429	327322750	72.73838889	47.348	Typhi	68
ERR1764879	65.72118888	320985750	71.33016667	47.843	Typhi	68
ERR352501	68.23463804	335598400	74.57742222	46.13	Typhi	70
ERR338047	86.65806439	425844800	94.63217778	57.362	Typhi	90.56
ERR230430	51.25316711	259379400	57.63986667	33.3	Typhi	55
ERR1764571	66.14393817	323400500	71.86677778	47.957	Typhi	68
ERR1788845	41.35013455	200497250	44.55494444	30.116	Typhi	42
ERR338010	56.48477398	277002000	61.556	37.155	Typhi	59
ERR360401	56.20623963	277956800	61.76817778	38.691	Typhi	61
ERR352255	115.4122175	572288000	127.1751111	76.429	Typhi	122.27
ERR657381	117.8146007	581910000	129.3133333	76.086	Typhi	122.08
ERR422811	62.53782472	307137000	68.25266667	44.103	Typhi	64.88
ERR326685	51.29417241	252239200	56.05315556	33	Typhi	54
ERR1764865	71.25240729	347909250	77.31316667	52.162	Typhi	73
ERR1764664	70.83842191	349404000	77.64533333	51.794	Typhi	73
ERR360496	57.61148978	283143600	62.9208	40.391	Typhi	61
ERR1788752	53.30452521	258467750	57.43727778	41.397	Typhi	55
ERR2093325	145.6591848	745421000	165.6491111	121.614	Typhi	155
ERR279187	101.113215	498187000	110.7082222	69.086	Typhi	105.86
ERR460372	114.1242814	595443400	132.3207556	73.639	Typhi	122
ERR1764844	61.83233171	300496750	66.77705556	45.149	Typhi	64
ERR1764744	59.60381777	298406000	66.31244444	44.176	Typhi	61
ERR1764736	60.2621267	296672500	65.92722222	44.132	Typhi	62
ERR460338	95.37320362	476065200	105.7922667	62.667	Typhi	98.95
ERR352903	76.34312504	375054200	83.34537778	50.043	Typhi	80
ERR338008	68.21990328	335734600	74.60768889	42.918	Typhi	72
ERR1764682	69.82452162	341351250	75.85583333	51.118	Typhi	72
ERR420433	106.9084135	538232600	119.6072444	64	Typhi	113.66
ERR326684	78.59478291	405942000	90.20933333	49.233	Typhi	86
ERR460354	101.0104705	502653800	111.7008444	63.319	Typhi	105.1
ERR467094	106.388804	540333000	120.074	70.783	Typhi	113.56
ERR331337	66.6733267	342432600	76.09613333	39.819	Typhi	73
