strain	SRR3028749	SRR3028788	SRR3028753	SRR3028746	SRR3028747	SRR3028748	SRR3028750	SRR3028751	SRR3028752	SRR3028789	reference	SRR3028790	SRR3028791	SRR3028742	SRR3028792	SRR3028737	SRR3028745	SRR3028786	SRR3028736	SRR3028738	SRR3028739	SRR3028740	SRR3028741	SRR3028743	SRR3028744	SRR3028785	SRR3028782	SRR3028783	SRR3028784	SRR3028787	SRR3028794	SRR3028754	SRR3028763	SRR3028765	SRR3028767	SRR3028770	SRR3028755	SRR3028756	SRR3028757	SRR3028758	SRR3028759	SRR3028760	SRR3028761	SRR3028762	SRR3028764	SRR3028766	SRR3028768	SRR3028769	SRR3028771	SRR3028772	SRR3028773	SRR3028774	SRR3028775	SRR3028776	SRR3028777	SRR3028778	SRR3028779	SRR3028780	SRR3028781	SRR3028793
SRR3028773	73	78	73	72	72	72	72	72	72	72	78	70	68	57	64	55	55	63	54	54	54	54	54	54	54	60	51	50	48	60	11	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
SRR3028774	73	78	73	72	72	72	72	72	72	72	78	70	68	57	64	55	55	63	54	54	54	54	54	54	54	60	51	50	48	60	11	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
SRR3028775	73	78	73	72	72	72	72	72	72	72	78	70	68	57	64	55	55	63	54	54	54	54	54	54	54	60	51	50	48	60	11	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
SRR3028776	73	78	73	72	72	72	72	72	72	72	78	70	68	57	64	55	55	63	54	54	54	54	54	54	54	60	51	50	48	60	11	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
SRR3028777	73	78	73	72	72	72	72	72	72	72	78	70	68	57	64	55	55	63	54	54	54	54	54	54	54	60	51	50	48	60	11	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
SRR3028778	73	78	73	72	72	72	72	72	72	72	78	70	68	57	64	55	55	63	54	54	54	54	54	54	54	60	51	50	48	60	11	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
SRR3028779	73	78	73	72	72	72	72	72	72	72	78	70	68	57	64	55	55	63	54	54	54	54	54	54	54	60	51	50	48	60	11	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
SRR3028780	73	78	73	72	72	72	72	72	72	72	78	70	68	57	64	55	55	63	54	54	54	54	54	54	54	60	51	50	48	60	11	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
SRR3028781	73	78	73	72	72	72	72	72	72	72	78	70	68	57	64	55	55	63	54	54	54	54	54	54	54	60	51	50	48	60	11	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
SRR3028793	71	76	71	70	70	70	70	70	70	70	76	68	66	55	62	53	53	61	52	52	52	52	52	52	52	58	49	48	46	58	9	7	7	7	7	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	0
